,energy_demand,Datetime
0,8.1,2019-01-09 23:15:00 
1,15.7,2019-01-09 23:30:00 
2,22.8,2019-01-09 23:45:00 
3,32.7,2019-01-10 00:00:00 
4,8.1,2019-01-10 00:15:00 
5,16.5,2019-01-10 00:30:00 
6,24.7,2019-01-10 00:45:00 
7,34.5,2019-01-10 01:00:00 
8,8.2,2019-01-10 01:15:00 
9,16.0,2019-01-10 01:30:00 
10,24.5,2019-01-10 01:45:00 
11,32.5,2019-01-10 02:00:00 
12,7.2,2019-01-10 02:15:00 
13,16.3,2019-01-10 02:30:00 
14,24.9,2019-01-10 02:45:00 
15,33.0,2019-01-10 03:00:00 
16,10.3,2019-01-10 03:15:00 
17,19.2,2019-01-10 03:30:00 
18,28.5,2019-01-10 03:45:00 
19,38.6,2019-01-10 04:00:00 
20,8.9,2019-01-10 04:15:00 
21,17.8,2019-01-10 04:30:00 
22,28.7,2019-01-10 04:45:00 
23,36.7,2019-01-10 05:00:00 
24,9.3,2019-01-10 05:15:00 
25,17.4,2019-01-10 05:30:00 
26,25.1,2019-01-10 05:45:00 
27,33.3,2019-01-10 06:00:00 
28,7.7,2019-01-10 06:15:00 
29,14.9,2019-01-10 06:30:00 
30,23.1,2019-01-10 06:45:00 
31,29.4,2019-01-10 07:00:00 
32,5.8,2019-01-10 07:15:00 
33,12.3,2019-01-10 07:30:00 
34,17.6,2019-01-10 07:45:00 
35,23.1,2019-01-10 08:00:00 
36,6.5,2019-01-10 08:15:00 
37,10.3,2019-01-10 08:30:00 
38,16.0,2019-01-10 08:45:00 
39,20.5,2019-01-10 09:00:00 
40,4.7,2019-01-10 09:15:00 
41,8.6,2019-01-10 09:30:00 
42,13.0,2019-01-10 09:45:00 
43,16.6,2019-01-10 10:00:00 
44,5.0,2019-01-10 10:15:00 
45,9.0,2019-01-10 10:30:00 
46,12.1,2019-01-10 10:45:00 
47,15.5,2019-01-10 11:00:00 
48,3.6,2019-01-10 11:15:00 
49,6.5,2019-01-10 11:30:00 
50,10.1,2019-01-10 11:45:00 
51,13.6,2019-01-10 12:00:00 
52,3.1,2019-01-10 12:15:00 
53,6.4,2019-01-10 12:30:00 
54,10.2,2019-01-10 12:45:00 
55,13.3,2019-01-10 13:00:00 
56,3.5,2019-01-10 13:15:00 
57,7.0,2019-01-10 13:30:00 
58,9.9,2019-01-10 13:45:00 
59,13.2,2019-01-10 14:00:00 
60,3.6,2019-01-10 14:15:00 
61,6.6,2019-01-10 14:30:00 
62,10.2,2019-01-10 14:45:00 
63,13.6,2019-01-10 15:00:00 
64,3.1,2019-01-10 15:15:00 
65,6.7,2019-01-10 15:30:00 
66,9.9,2019-01-10 15:45:00 
67,12.9,2019-01-10 16:00:00 
68,3.4,2019-01-10 16:15:00 
69,6.7,2019-01-10 16:30:00 
70,9.6,2019-01-10 16:45:00 
71,13.3,2019-01-10 17:00:00 
72,3.2,2019-01-10 17:15:00 
73,6.6,2019-01-10 17:30:00 
74,11.0,2019-01-10 17:45:00 
75,14.7,2019-01-10 18:00:00 
76,4.1,2019-01-10 18:15:00 
77,8.7,2019-01-10 18:30:00 
78,12.4,2019-01-10 18:45:00 
79,16.8,2019-01-10 19:00:00 
80,4.1,2019-01-10 19:15:00 
81,10.2,2019-01-10 19:30:00 
82,16.2,2019-01-10 19:45:00 
83,22.3,2019-01-10 20:00:00 
84,5.9,2019-01-10 20:15:00 
85,13.1,2019-01-10 20:30:00 
86,18.4,2019-01-10 20:45:00 
87,23.1,2019-01-10 21:00:00 
88,6.4,2019-01-10 21:15:00 
89,12.7,2019-01-10 21:30:00 
90,18.0,2019-01-10 21:45:00 
91,24.0,2019-01-10 22:00:00 
92,7.6,2019-01-10 22:15:00 
93,15.8,2019-01-10 22:30:00 
94,23.8,2019-01-10 22:45:00 
95,31.8,2019-01-10 23:00:00 
96,8.1,2019-01-10 23:15:00 
97,17.3,2019-01-10 23:30:00 
98,26.5,2019-01-10 23:45:00 
99,34.5,2019-01-11 00:00:00 
100,10.1,2019-01-11 00:15:00 
101,19.7,2019-01-11 00:30:00 
102,29.4,2019-01-11 00:45:00 
103,39.3,2019-01-11 01:00:00 
104,9.6,2019-01-11 01:15:00 
105,19.6,2019-01-11 01:30:00 
106,29.4,2019-01-11 01:45:00 
107,38.7,2019-01-11 02:00:00 
108,10.3,2019-01-11 02:15:00 
109,20.4,2019-01-11 02:30:00 
110,30.4,2019-01-11 02:45:00 
111,42.2,2019-01-11 03:00:00 
112,11.1,2019-01-11 03:15:00 
113,21.9,2019-01-11 03:30:00 
114,33.2,2019-01-11 03:45:00 
115,44.0,2019-01-11 04:00:00 
116,10.2,2019-01-11 04:15:00 
117,21.1,2019-01-11 04:30:00 
118,31.9,2019-01-11 04:45:00 
119,43.1,2019-01-11 05:00:00 
120,10.8,2019-01-11 05:15:00 
121,21.0,2019-01-11 05:30:00 
122,31.1,2019-01-11 05:45:00 
123,40.3,2019-01-11 06:00:00 
124,9.2,2019-01-11 06:15:00 
125,18.5,2019-01-11 06:30:00 
126,28.5,2019-01-11 06:45:00 
127,36.3,2019-01-11 07:00:00 
128,7.3,2019-01-11 07:15:00 
129,14.9,2019-01-11 07:30:00 
130,20.5,2019-01-11 07:45:00 
131,26.6,2019-01-11 08:00:00 
132,7.7,2019-01-11 08:15:00 
133,13.0,2019-01-11 08:30:00 
134,17.1,2019-01-11 08:45:00 
135,22.5,2019-01-11 09:00:00 
136,5.9,2019-01-11 09:15:00 
137,9.6,2019-01-11 09:30:00 
138,15.4,2019-01-11 09:45:00 
139,19.1,2019-01-11 10:00:00 
140,5.1,2019-01-11 10:15:00 
141,10.7,2019-01-11 10:30:00 
142,14.5,2019-01-11 10:45:00 
143,19.6,2019-01-11 11:00:00 
144,4.5,2019-01-11 11:15:00 
145,9.5,2019-01-11 11:30:00 
146,13.3,2019-01-11 11:45:00 
147,18.3,2019-01-11 12:00:00 
148,4.5,2019-01-11 12:15:00 
149,8.2,2019-01-11 12:30:00 
150,14.1,2019-01-11 12:45:00 
151,17.5,2019-01-11 13:00:00 
152,5.1,2019-01-11 13:15:00 
153,9.7,2019-01-11 13:30:00 
154,15.2,2019-01-11 13:45:00 
155,18.6,2019-01-11 14:00:00 
156,4.4,2019-01-11 14:15:00 
157,9.4,2019-01-11 14:30:00 
158,12.8,2019-01-11 14:45:00 
159,18.8,2019-01-11 15:00:00 
160,3.6,2019-01-11 15:15:00 
161,8.4,2019-01-11 15:30:00 
162,12.6,2019-01-11 15:45:00 
163,17.3,2019-01-11 16:00:00 
164,3.9,2019-01-11 16:15:00 
165,8.2,2019-01-11 16:30:00 
166,13.1,2019-01-11 16:45:00 
167,16.7,2019-01-11 17:00:00 
168,5.7,2019-01-11 17:15:00 
169,9.5,2019-01-11 17:30:00 
170,13.1,2019-01-11 17:45:00 
171,18.5,2019-01-11 18:00:00 
172,3.9,2019-01-11 18:15:00 
173,8.8,2019-01-11 18:30:00 
174,12.7,2019-01-11 18:45:00 
175,16.9,2019-01-11 19:00:00 
176,4.5,2019-01-11 19:15:00 
