employee_id,region,education,gender,age,department,recruitment_channel,no_of_trainings,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
E21133,region_13,Master's & above,M,36.0,Procurement,other,1,1.0,5,0,73,0
E39322,region_31,Bachelor's,M,37.0,Sales & Marketing,sourcing,2,2.0,2,0,48,0
E26399,region_7,Bachelor's,M,30.0,Technology,other,3,4.0,3,0,75,0
E18243,region_2,Bachelor's,M,43.0,Operations,other,1,5.0,5,0,58,0
E35678,region_26,Master's & above,M,45.0,Procurement,sourcing,2,3.0,19,0,68,0
E67404,region_23,Master's & above,M,39.0,Technology,sourcing,1,3.0,9,0,78,0
E67240,region_23,Bachelor's,M,31.0,Finance,other,1,5.0,5,0,56,0
E13711,region_15,Bachelor's,M,35.0,Procurement,other,2,4.0,9,0,70,0
E7277,region_27,Bachelor's,M,34.0,Sales & Marketing,other,1,5.0,8,0,43,0
E65150,region_2,Bachelor's,F,31.0,Technology,referred,3,5.0,6,0,82,0
E66215,region_2,Bachelor's,F,28.0,Operations,other,1,3.0,2,0,62,0
E27539,region_31,Bachelor's,M,33.0,Procurement,other,1,3.0,7,0,68,0
E63054,region_11,Bachelor's,M,32.0,Operations,other,1,3.0,6,0,61,0
E1507,region_26,Bachelor's,M,31.0,Sales & Marketing,sourcing,1,1.0,2,0,49,0
E58770,region_11,Bachelor's,M,28.0,Sales & Marketing,other,1,5.0,2,0,47,0
E7816,region_2,Master's & above,F,40.0,Operations,sourcing,1,1.0,8,0,55,0
E62364,region_2,Bachelor's,F,30.0,Sales & Marketing,other,1,5.0,3,0,49,0
E5366,region_12,Bachelor's,M,31.0,Finance,other,1,2.0,5,0,60,0
E13576,region_16,Bachelor's,F,31.0,Sales & Marketing,other,1,5.0,7,0,53,0
E20110,region_22,Bachelor's,M,37.0,Sales & Marketing,sourcing,1,1.0,2,0,51,0
E20871,region_22,Bachelor's,F,42.0,Operations,other,1,3.0,8,0,60,0
E68503,region_2,Bachelor's,M,39.0,Analytics,sourcing,2,3.0,2,0,83,0
E47375,region_2,Bachelor's,F,33.0,Procurement,referred,1,5.0,4,0,66,1
E39969,region_20,Bachelor's,M,29.0,Sales & Marketing,other,1,4.0,3,0,49,0
E31505,region_7,Bachelor's,M,31.0,Sales & Marketing,sourcing,1,5.0,6,0,50,0
E37975,region_2,Bachelor's,M,26.0,Sales & Marketing,sourcing,6,1.0,1,0,48,0
E8773,region_26,Bachelor's,M,32.0,Sales & Marketing,other,1,3.0,2,0,49,0
E16579,region_15,Master's & above,M,39.0,Analytics,sourcing,1,1.0,8,0,88,0
E67491,region_15,Bachelor's,M,20.0,Sales & Marketing,sourcing,1,5.0,1,0,43,0
E18473,region_2,Bachelor's,M,30.0,Operations,sourcing,1,4.0,1,0,58,0
