employee_id,region,education,gender,age
E21133,region_13,Master's & above,m,36
E39322,region_31,Bachelor's,m,37
E26399,region_7,Bachelor's,m,30
E18243,region_2,Bachelor's,m,43
E35678,region_26,Master's & above,m,45
E67404,region_23,Master's & above,m,39
E67240,region_23,Bachelor's,m,31
E13711,region_15,Bachelor's,m,35
E7277,region_27,Bachelor's,m,34
E65150,region_2,Bachelor's,f,31
E66215,region_2,,f,28
E27539,region_31,Bachelor's,m,33
E63054,region_11,Bachelor's,m,32
E1507,region_26,Undergraduate,M,31
E58770,region_11,Bachelor's,m,28
E7816,region_2,Master's & above,f,40
E62364,region_2,Bachelor's,f,30
E5366,region_12,Bachelor's,m,31
E13576,region_16,Bachelor's,f,31
E20110,region_22,Bachelor's,m,37
E20871,region_22,Bachelor's,f,42
E68503,region_2,Bachelor's,m,39
E47375,region_2,Bachelor's,f,33
E39969,region_20,Bachelor's,m,29
E31505,region_7,Bachelor's,m,31
E37975,region_2,Bachelor's,m,26
E8773,region_26,Bachelor's,m,32
E16579,region_15,Master's & above,m,39
E67491,region_15,Bachelor's,m,20
E18473,region_2,Bachelor's,m,30
E59324,region_26,Bachelor's,m,26
E31116,region_31,Bachelor's,m,34
E59789,region_2,Master's & above,m,34
E4624,region_2,Bachelor's,m,31
E2345,region_7,Postgraduate & higher,male,31
E56033,region_2,Bachelor's,m,34
E77129,region_13,Master's & above,m,47
E68337,region_2,Bachelor's,f,38
E69407,region_31,Bachelor's,m,46
E61068,region_22,Bachelor's,f,28
E26698,region_2,Master's & above,f,50
E70685,region_22,Bachelor's,f,30
E24822,region_22,Bachelor's,f,26
E5786,region_22,Master's & above,m,31
E47510,region_2,Master's & above,m,49
E67535,region_31,Bachelor's,f,29
E27892,region_28,Bachelor's,m,27
E75195,region_34,Bachelor's,m,29
E38448,region_26,Bachelor's,m,27
E9573,region_17,Bachelor's,m,26
E76950,region_1,Bachelor's,m,31
E57813,region_34,Bachelor's,f,27
E41354,region_2,Bachelor's,m,40
E52378,region_16,Master's & above,m,33
E53166,region_2,Master's & above,f,43
E53818,region_17,Bachelor's,m,53
E70068,region_1,Master's & above,f,35
E6667,region_11,Master's & above,m,41
E46032,region_13,Bachelor's,m,29
E77981,region_22,Bachelor's,m,27
E31548,region_22,Bachelor's,m,29
E18244,region_22,Bachelor's,m,38
E41360,region_13,Bachelor's,m,27
E43382,region_14,Bachelor's,m,26
E38004,region_2,Bachelor's,m,22
E71577,region_7,Bachelor's,m,36
E57208,region_15,Bachelor's,m,34
E48424,region_7,Bachelor's,m,56
E66881,region_3,Bachelor's,m,28
E39283,region_13,Bachelor's,f,29
E65385,region_2,,f,38
E19191,region_2,Bachelor's,f,28
E61725,region_27,Bachelor's,m,33
E63881,region_15,Master's & above,f,48
E56543,region_7,Master's & above,m,40
E1907,region_30,Bachelor's,m,24
E71439,region_2,Bachelor's,f,31
E25073,region_2,Bachelor's,m,32
E32192,region_10,Bachelor's,m,27
E60724,region_23,Master's & above,Female,39
E65961,region_4,Bachelor's,m,29
E23839,region_17,Master's & above,f,34
E73750,region_2,Bachelor's,m,51
E59852,region_32,Bachelor's,female,28
E50905,region_28,Master's & above,m,33
E32739,region_14,Bachelor's,m,33
E2718,region_13,Masters,male,34
E23596,region_15,Bachelor's,m,36
E31629,region_2,Bachelor's,f,30
E16273,region_31,Bachelor's,m,29
E48961,region_2,Bachelor's,m,48
E27795,region_32,Bachelor's,m,29
E45805,region_2,Master's & above,f,55
E1295,region_6,Bachelor's,Female,34
E36962,region_2,Bachelor's,female,30
E66527,region_25,Master's & above,m,38
E75495,region_7,Master's & above,f,45
E41433,region_28,Bachelor's,m,29
E46365,region_16,Bachelor's,m,42
E67413,region_9,Bachelor's,m,27
E63569,region_23,Master's & above,m,33
E12698,region_10,Master's & above,f,35
E41217,region_27,Bachelor's,f,37
E71777,region_28,Bachelor's,m,36
E56304,region_10,Bachelor's,m,30
E2968,region_2,Bachelor's,f,41
E5517,region_19,Bachelor's,M,35
E77172,region_11,Bachelor's,m,34
E52908,region_11,Master's & above,f,40
E28145,region_11,Master's & above,m,42
E60052,region_22,Bachelor's,f,32
E31084,region_22,Bachelor's,m,30
E18063,region_15,Bachelor's,m,43
E40498,region_15,Bachelor's,f,40
E28937,region_3,Bachelor's,m,38
E26780,region_2,Bachelor's,f,24
E11695,region_16,Bachelor's,m,34
E75275,region_22,Master's & above,f,34
E65342,region_31,Bachelor's,m,36
E30906,region_23,Master's & above,f,37
E35992,region_13,Bachelor's,m,30
E64130,region_16,Bachelor's,m,27
E13815,region_27,Bachelor's,m,34
E36665,region_4,Bachelor's,f,32
E67974,region_23,Master's & above,m,35
E31159,region_2,Bachelor's,f,44
E30298,region_2,Below Secondary,m,23
E543,region_8,Bachelor's,M,31
E43756,region_7,Bachelor's,f,31
E62679,region_31,Master's & above,m,43
E44408,region_2,Bachelor's,m,45
E7067,region_7,Master's & above,f,42
E26281,region_27,Bachelor's,f,28
E29665,region_2,Master's & above,m,54
E25949,region_29,Bachelor's,m,33
E30505,region_26,Bachelor's,m,34
E36884,region_7,Bachelor's,f,30
E5947,region_28,Bachelor's,m,36
E613,region_13,Bachelor's,Male,44
E20229,region_7,Bachelor's,m,31
E527,region_2,Master's & above,Male,47
E14904,region_4,Bachelor's,m,38
E57173,region_1,Master's & above,m,34
E72504,region_14,Master's & above,m,35
E31400,region_5,Bachelor's,m,24
E30873,region_1,Bachelor's,f,26
E78289,region_6,Bachelor's,m,30
E19228,region_22,Bachelor's,m,30
E55823,region_2,Bachelor's,m,36
E13996,region_2,Bachelor's,f,47
E5593,region_22,Bachelor's,m,28
E23763,region_28,Bachelor's,m,34
E7383,region_34,Master's & above,f,35
E26117,region_22,Bachelor's,m,22
E57892,region_5,Bachelor's,m,34
E43016,region_31,Bachelor's,m,29
E21688,region_2,Master's & above,f,31
E46250,region_28,Bachelor's,m,30
E37470,region_31,Bachelor's,m,28
E71124,region_13,Master's & above,m,34
E44364,region_6,Bachelor's,f,32
E11560,region_22,Bachelor's,m,31
E35797,region_2,Master's & above,m,44
E55139,region_31,Master's & above,f,40
E16209,region_2,Bachelor's,m,59
E31631,region_10,Master's & above,m,36
E64758,region_2,Master's & above,m,55
E60130,region_22,Master's & above,m,39
E52495,region_2,Bachelor's,f,30
E78051,region_17,Bachelor's,m,29
E48811,region_16,Master's & above,m,36
E62319,region_2,,m,43
E49837,region_9,Bachelor's,m,30
E46463,region_28,Bachelor's,m,29
E19117,region_22,Master's & above,f,36
E33691,region_2,Bachelor's,m,32
E51970,region_2,Master's & above,f,35
E19870,region_2,,m,38
E639,region_25,Undergraduate,Male,31
E6161,region_26,Bachelor's,m,30
E7845,region_2,Bachelor's,f,55
E13407,region_23,Master's & above,m,42
E46676,region_16,Bachelor's,m,31
E58143,region_32,Bachelor's,f,28
E2865,region_31,Bachelor's,M,27
E60750,region_3,Master's & above,m,35
E59778,region_16,Bachelor's,m,39
E2208,region_2,Master's & above,M,46
E38371,region_22,Bachelor's,m,32
E38964,region_22,Bachelor's,f,31
E50126,region_6,Bachelor's,m,26
E65862,region_22,Master's & above,m,34
E29381,region_7,Bachelor's,m,37
E2466,region_2,Master's & above,m,48
E72554,region_19,Bachelor's,m,33
E27479,region_25,Bachelor's,m,29
E6348,region_28,Bachelor's,M,29
E65323,region_15,Master's & above,m,32
E15819,region_12,Bachelor's,m,28
E70330,region_2,Master's & above,m,36
E12637,region_2,Bachelor's,f,38
E57963,region_6,Bachelor's,m,35
E8446,region_14,Bachelor's,m,30
E56317,region_22,Bachelor's,m,30
E64219,region_4,Bachelor's,f,39
E65171,region_15,Master's & above,m,35
E72846,region_22,Master's & above,m,32
E6648,region_2,Bachelor's,m,41
E23993,region_22,Master's & above,male,33
E33885,region_7,Bachelor's,m,28
E6990,region_22,Bachelor's,m,27
E70167,region_26,Bachelor's,m,40
E38087,region_2,Bachelor's,f,55
E69847,region_26,Bachelor's,f,32
E2259,region_2,Bachelor's,m,32
E19837,region_15,Bachelor's,m,44
E40469,region_13,Master's & above,m,40
E32576,region_2,Master's & above,m,56
E38368,region_7,Bachelor's,m,48
E2521,region_26,Bachelor's,m,32
E58303,region_22,Bachelor's,m,29
E40998,region_29,Bachelor's,m,45
E32619,region_31,Master's & above,m,38
E26133,region_2,Master's & above,m,36
E39997,region_21,Bachelor's,m,29
E748,region_22,Undergraduate,male,28
E75017,region_2,Bachelor's,f,36
E28013,region_17,Master's & above,f,33
E31440,region_21,Bachelor's,m,27
E41705,region_2,Bachelor's,m,38
E68166,region_11,Bachelor's,m,29
E43037,region_4,Bachelor's,m,29
E27601,region_14,Master's & above,m,38
E7540,region_13,Bachelor's,f,37
E40822,region_13,Master's & above,m,33
E63749,region_11,Bachelor's,f,32
E69220,region_22,Bachelor's,m,32
E40367,region_22,Master's & above,m,38
E64908,region_11,Master's & above,m,39
