employee_id,department,recruitment_channel,no_of_trainings,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
E21133,Procurement,other,1,1.0,5,0,73,0
E39322,Sales & Marketing,sourcing,2,2.0,2,0,48,0
E26399,Technology,other,3,4.0,3,0,75,0
E18243,Operations,other,1,5.0,5,0,58,0
E35678,Procurement,sourcing,2,3.0,19,0,68,0
E67404,Technology,sourcing,1,3.0,9,0,78,0
E67240,Finance,other,1,5.0,5,0,56,0
E13711,Procurement,other,2,4.0,9,0,70,0
E7277,Sales & Marketing,other,1,5.0,8,0,43,0
E65150,Technology,referred,3,5.0,6,0,82,0
E66215,Operations,other,1,3.0,2,0,62,0
E27539,Procurement,other,1,3.0,7,0,68,0
E63054,Operations,other,1,3.0,6,0,61,0
E1507,Sales & Marketing,sourcing,1,1.0,2,0,49,0
E58770,Sales & Marketing,other,1,5.0,2,0,47,0
E7816,Operations,sourcing,1,1.0,8,0,55,0
E62364,Sales & Marketing,other,1,5.0,3,0,49,0
E5366,Finance,other,1,2.0,5,0,60,0
E13576,Sales & Marketing,other,1,5.0,7,0,53,0
E20110,Sales & Marketing,sourcing,1,1.0,2,0,51,0
E20871,Operations,other,1,3.0,8,0,60,0
E68503,Analytics,sourcing,2,3.0,2,0,83,0
E47375,Procurement,referred,1,5.0,4,0,66,1
E39969,Sales & Marketing,other,1,4.0,3,0,49,0
E31505,Sales & Marketing,sourcing,1,5.0,6,0,50,0
E37975,Sales & Marketing,sourcing,6,,1,0,48,0
E8773,Sales & Marketing,other,1,3.0,2,0,49,0
E16579,Analytics,sourcing,1,1.0,8,0,88,0
E67491,Sales & Marketing,sourcing,1,,1,0,43,0
E18473,Operations,sourcing,1,,1,0,58,0
E59324,Finance,sourcing,1,,1,0,61,0
E31116,Legal,other,1,1.0,5,0,59,0
E59789,Sales & Marketing,other,1,4.0,3,0,45,0
E4624,Technology,other,1,5.0,3,0,76,1
E2345,Sales & Marketing,sourcing,1,5.0,4,0,48,0
E56033,Finance,sourcing,1,1.0,7,0,56,0
E77129,Sales & Marketing,sourcing,1,5.0,15,0,53,0
E68337,Sales & Marketing,other,1,1.0,3,0,51,0
E69407,Sales & Marketing,other,1,5.0,6,0,51,0
E61068,Operations,sourcing,2,,1,0,57,0
E26698,Procurement,other,1,3.0,7,0,71,0
E70685,Operations,other,1,5.0,6,0,59,0
E24822,Technology,referred,1,3.0,2,0,79,0
E5786,R&D,other,1,3.0,5,0,83,0
E47510,Sales & Marketing,other,1,4.0,19,0,49,0
E67535,Sales & Marketing,other,1,3.0,4,0,46,0
E27892,Sales & Marketing,other,1,5.0,3,0,49,0
E75195,Procurement,sourcing,1,3.0,5,0,71,0
E38448,Legal,sourcing,1,3.0,2,0,57,0
E9573,Operations,other,1,,1,0,59,0
E76950,Technology,other,1,4.0,1,0,81,0
E57813,Sales & Marketing,sourcing,1,,1,0,47,0
E41354,Technology,other,1,2.0,6,0,77,0
E52378,Procurement,sourcing,1,3.0,7,0,69,0
E53166,Operations,sourcing,1,3.0,12,0,65,0
E53818,Procurement,sourcing,1,2.0,16,0,68,0
E70068,Operations,sourcing,1,3.0,2,0,61,0
E6667,Operations,other,1,5.0,3,0,63,0
E46032,Sales & Marketing,other,1,,1,0,47,0
E77981,Finance,other,1,,1,1,58,1
E31548,R&D,sourcing,1,,1,0,81,0
E18244,Procurement,other,1,4.0,9,0,66,0
E41360,Sales & Marketing,sourcing,1,5.0,3,0,50,0
E43382,Operations,other,1,5.0,3,0,63,0
